阳明新城    ,480,2, 66.9
公交新村    ,440,2, 60.85
兰馨雅苑    ,1100,3, 148.42
城市名园    ,570,3, 115.16
浣沙三村    ,388,2, 62.92
佳木斯路275号    ,570,3, 98
市光二村    ,316,3, 68.98
明月坊    ,460,2, 64.43
延吉七村    ,330,2, 50.21
大运盛城    ,930,3, 133.23
黄兴绿园    ,848,3, 135.65
合生高尔夫公寓    ,1295,3, 154.37
望春都市家园    ,899,3, 128.6
新凤城    ,1040,3, 132.09
全家福家园    ,880,3, 135.18
圣骊河滨苑    ,980,3, 133
嘉禄公寓    ,830,3, 146.45
百兴花园    ,615,3, 105.97
华晖绿苑    ,890,4, 153.36
控江路1200弄    ,540,3, 64.41
财大小区    ,212,1, 38.19
华润置地橡树湾    ,1800,4, 210.08
莱茵半岛    ,1150,4, 178.2
华晖绿苑    ,990,4, 149.13
富天苑    ,770,3, 108.78
国和二村    ,220,1, 42.86
创智坊(公寓)    ,865,2, 116.14
佳泰花园    ,915,3, 125.86
市光四村    ,360,2, 64.48
控江路874弄    ,335,2, 54.92
明园村小区    ,340,2, 54.58
平凉小区    ,450,2, 78.53
延吉东路131弄    ,290,2, 52.38
工农二村    ,190,1, 41.72
开鲁三村    ,210,1, 41.23
双辽支路70弄    ,350,2, 53.08
安图新村    ,258,2, 47.09
延吉四村    ,410,2, 72.73
开鲁三村    ,185,1, 42.2
凤城一村    ,185,1, 35.31
海运大厦    ,430,2, 70.44
